"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1965","Census Tract 701902","141","Census Tract 311600","6/1/2018 - 8/31/2018, Every day, Daily Average",2512,1703,3705
"1965","Census Tract 701902","142","Census Tract 311700","6/1/2018 - 8/31/2018, Every day, Daily Average",2682,1793,4010
"1965","Census Tract 701902","143","Census Tract 311801","6/1/2018 - 8/31/2018, Every day, Daily Average",3039,2073,4453
"1965","Census Tract 701902","144","Census Tract 311802","6/1/2018 - 8/31/2018, Every day, Daily Average",3183,2148,4714
"1965","Census Tract 701902","145","Census Tract 980001","6/1/2018 - 8/31/2018, Every day, Daily Average",2891,2047,4082
"1965","Census Tract 701902","146","Census Tract 800101","6/1/2018 - 8/31/2018, Every day, Daily Average",2435,1910,3104
"1965","Census Tract 701902","148","Census Tract 800202","6/1/2018 - 8/31/2018, Every day, Daily Average",2528,1984,3219
"1965","Census Tract 701902","149","Census Tract 800204","6/1/2018 - 8/31/2018, Every day, Daily Average",2484,1853,3329
"1965","Census Tract 701902","151","Census Tract 541002","6/1/2018 - 8/31/2018, Every day, Daily Average",2916,1959,4338
"1965","Census Tract 701902","152","Census Tract 543100","6/1/2018 - 8/31/2018, Every day, Daily Average",2971,2030,4347
"1965","Census Tract 701902","155","Census Tract 543306","6/1/2018 - 8/31/2018, Every day, Daily Average",2706,1817,4028
"1965","Census Tract 701902","156","Census Tract 543321","6/1/2018 - 8/31/2018, Every day, Daily Average",3013,2032,4466
"1965","Census Tract 701902","158","Census Tract 543400","6/1/2018 - 8/31/2018, Every day, Daily Average",2486,1621,3811
"1965","Census Tract 701902","159","Census Tract 543501","6/1/2018 - 8/31/2018, Every day, Daily Average",2176,1425,3321
"1965","Census Tract 701902","165","Census Tract 543801","6/1/2018 - 8/31/2018, Every day, Daily Average",2222,1460,3380
"1965","Census Tract 701902","167","Census Tract 543903","6/1/2018 - 8/31/2018, Every day, Daily Average",2340,1543,3548
"1965","Census Tract 701902","170","Census Tract 544002","6/1/2018 - 8/31/2018, Every day, Daily Average",2726,1759,4223
