"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1556","Census Tract 267800","12","Census Tract 480903","6/1/2018 - 8/31/2018, Every day, Daily Average",2570,1684,3921
"1556","Census Tract 267800","15","Census Tract 481500","6/1/2018 - 8/31/2018, Every day, Daily Average",2735,1805,4143
"1556","Census Tract 267800","18","Census Tract 481605","6/1/2018 - 8/31/2018, Every day, Daily Average",2655,1743,4042
"1556","Census Tract 267800","19","Census Tract 481606","6/1/2018 - 8/31/2018, Every day, Daily Average",2784,1847,4194
"1556","Census Tract 267800","21","Census Tract 481901","6/1/2018 - 8/31/2018, Every day, Daily Average",3041,2017,4583
"1556","Census Tract 267800","22","Census Tract 481902","6/1/2018 - 8/31/2018, Every day, Daily Average",2487,1628,3797
"1556","Census Tract 267800","25","Census Tract 430701","6/1/2018 - 8/31/2018, Every day, Daily Average",2861,2104,3888
"1556","Census Tract 267800","26","Census Tract 430721","6/1/2018 - 8/31/2018, Every day, Daily Average",2975,2237,3955
"1556","Census Tract 267800","39","Census Tract 554801","6/1/2018 - 8/31/2018, Every day, Daily Average",3255,2243,4721
"1556","Census Tract 267800","58","Census Tract 404701","6/1/2018 - 8/31/2018, Every day, Daily Average",2870,2000,4117
"1556","Census Tract 267800","59","Census Tract 404702","6/1/2018 - 8/31/2018, Every day, Daily Average",3181,2067,4895
"1556","Census Tract 267800","60","Census Tract 404703","6/1/2018 - 8/31/2018, Every day, Daily Average",2927,2051,4176
"1556","Census Tract 267800","62","Census Tract 404802","6/1/2018 - 8/31/2018, Every day, Daily Average",3091,2094,4562
"1556","Census Tract 267800","63","Census Tract 404803","6/1/2018 - 8/31/2018, Every day, Daily Average",2869,2025,4064
"1556","Census Tract 267800","77","Census Tract 532304","6/1/2018 - 8/31/2018, Every day, Daily Average",2600,1695,3987
"1556","Census Tract 267800","81","Census Tract 533703","6/1/2018 - 8/31/2018, Every day, Daily Average",2487,1629,3795
"1556","Census Tract 267800","85","Census Tract 533806","6/1/2018 - 8/31/2018, Every day, Daily Average",2715,1777,4146
